com.hrm.scripts.ExplicitLoginScenario 2017-01-17 11:54:30,483 com.hrm.common.BaseTest.initApplication(BaseTest.java:96) TimeOut:20 
com.hrm.scripts.ExplicitLoginScenario 2017-01-17 11:54:30,490 com.hrm.common.BaseTest.preCondition(BaseTest.java:111) implicit login 
com.hrm.scripts.VerifyLoginLogout 2017-01-17 11:55:46,433 com.hrm.common.BaseTest.initFrameWork(BaseTest.java:53) initializing ExtentReport 
com.hrm.scripts.VerifyLoginLogout 2017-01-17 11:55:46,545 com.hrm.common.BaseTest.initBrowser(BaseTest.java:73) Execution started on Browser:chrome 
com.hrm.scripts.VerifyLoginLogout 2017-01-17 11:55:46,551 com.hrm.common.BaseTest.initApplication(BaseTest.java:85) Browser:chrome 
com.hrm.scripts.VerifyLoginLogout 2017-01-17 11:55:51,551 com.hrm.common.BaseTest.initApplication(BaseTest.java:96) TimeOut:20 
com.hrm.scripts.VerifyLoginLogout 2017-01-17 11:55:51,574 com.hrm.common.BaseTest.preCondition(BaseTest.java:119) explicit login required 
com.hrm.scripts.VerifyLoginLogout 2017-01-17 11:56:02,986 com.hrm.common.BaseTest.postCondition(BaseTest.java:134) explicit logout required 
com.hrm.scripts.ExplicitLoginScenario 2017-01-17 11:56:03,920 com.hrm.common.BaseTest.initApplication(BaseTest.java:85) Browser:chrome 
com.hrm.scripts.ExplicitLoginScenario 2017-01-17 11:56:07,745 com.hrm.common.BaseTest.initApplication(BaseTest.java:96) TimeOut:20 
com.hrm.scripts.ExplicitLoginScenario 2017-01-17 11:56:07,754 com.hrm.common.BaseTest.preCondition(BaseTest.java:111) implicit login 
com.hrm.scripts.VerifyLoginLogout 2017-01-17 11:57:41,041 com.hrm.common.BaseTest.initFrameWork(BaseTest.java:53) initializing ExtentReport 
com.hrm.scripts.VerifyLoginLogout 2017-01-17 11:57:41,161 com.hrm.common.BaseTest.initBrowser(BaseTest.java:73) Execution started on Browser:firefox 
com.hrm.scripts.VerifyLoginLogout 2017-01-17 11:57:41,170 com.hrm.common.BaseTest.initApplication(BaseTest.java:85) Browser:firefox 
com.hrm.scripts.VerifyLoginLogout 2017-01-17 11:58:36,630 com.hrm.common.BaseTest.initFrameWork(BaseTest.java:53) initializing ExtentReport 
com.hrm.scripts.VerifyLoginLogout 2017-01-17 11:58:36,743 com.hrm.common.BaseTest.initBrowser(BaseTest.java:73) Execution started on Browser:firefox 
